# Exported mask 'geometry' on 23-Jun-2016 08:38:35.000038
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13793.5	13470.5	28.37364743799461	-25.623500298634518	1587	1210	946	663	650	627	611	532	536	191	9	183	80	54.93954	30.726477	5.8810267	84.489075	1.0
13794.5	13470.5	28.373747016272887	-25.62349936242637	1572	1226	941	669	651	626	626	531	544	180	11	182	86	54.939495	30.726381	5.880304	84.48341	1.0
13795.5	13470.5	28.373846594546215	-25.623498426150395	1572	1218	940	661	651	626	626	524	544	180	11	182	86	54.93945	30.726286	5.8795805	84.477745	1.0
13796.5	13470.5	28.373946172814602	-25.623497489806603	1572	1229	942	670	652	639	628	530	555	180	11	180	94	54.939404	30.72619	5.8788576	84.472084	1.0
13797.5	13470.5	28.374045751078047	-25.62349655339499	1572	1222	953	672	652	639	628	540	555	180	11	180	94	54.939354	30.726093	5.8781343	84.466415	1.0
13798.5	13470.5	28.37414532933654	-25.62349561691555	1572	1236	949	661	651	646	644	544	550	180	11	178	87	54.93931	30.725998	5.8774114	84.46075	1.0
13799.5	13470.5	28.37424490759009	-25.623494680368303	1572	1221	949	652	651	646	644	537	550	180	11	178	87	54.939262	30.725903	5.876688	84.455086	1.0
13800.5	13470.5	28.37434448583869	-25.623493743753226	1580	1232	952	676	645	632	633	542	530	187	11	196	84	54.939217	30.725807	5.875965	84.44942	1.0
13801.5	13470.5	28.374444064082343	-25.62349280707033	1580	1223	949	667	645	632	633	555	530	187	11	196	84	54.93917	30.72571	5.8752418	84.443756	1.0
13802.5	13470.5	28.37454364232105	-25.62349187031962	1580	1228	956	664	643	635	643	541	540	187	11	176	94	54.939125	30.725615	5.874519	84.43809	1.0
13803.5	13470.5	28.374643220554812	-25.62349093350108	1580	1230	951	659	643	635	643	533	540	187	11	176	94	54.93908	30.72552	5.8737955	84.43243	1.0
13752.5	13471.5	28.36956575389398	-25.623628902147907	1589	1246	969	674	657	654	644	549	582	194	11	199	98	54.94151	30.730366	5.910648	84.688736	1.0
13753.5	13471.5	28.369665332449493	-25.623627968716644	1589	1233	975	673	657	654	644	576	582	194	11	199	98	54.941463	30.730268	5.909924	84.6832	1.0
13754.5	13471.5	28.36976491100007	-25.62362703521756	1589	1229	955	674	652	648	644	560	560	194	11	176	103	54.941418	30.730173	5.9092	84.67766	1.0
13755.5	13471.5	28.369864489545723	-25.62362610165066	1589	1227	957	662	652	648	644	560	560	194	11	176	103	54.941372	30.730078	5.9084764	84.67212	1.0
13756.5	13471.5	28.36996406808644	-25.623625168015938	1589	1242	959	662	660	647	634	520	547	194	11	189	114	54.941322	30.729982	5.9077525	84.66659	1.0
13757.5	13471.5	28.370063646622224	-25.623624234313393	1589	1220	952	679	660	647	634	543	547	194	11	189	114	54.941277	30.729887	5.907029	84.66105	1.0
13758.5	13471.5	28.37016322515308	-25.623623300543027	1579	1214	949	678	640	647	630	546	563	194	11	179	102	54.94123	30.72979	5.9063053	84.65551	1.0
13759.5	13471.5	28.370262803679	-25.623622366704836	1579	1250	951	672	640	647	630	539	563	194	11	179	102	54.941185	30.729694	5.9055815	84.64997	1.0
13760.5	13471.5	28.370362382199996	-25.62362143279883	1579	1237	961	673	646	644	632	539	558	194	11	179	82	54.94114	30.729599	5.9048576	84.64443	1.0
13761.5	13471.5	28.370461960716057	-25.623620498825	1579	1248	956	666	646	644	632	538	558	194	11	179	82	54.941093	30.729504	5.904134	84.6389	1.0
