# Exported mask 'geometry' on 23-Jun-2016 09:31:47.000031
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13773.5	13405.5	28.37158885835756	-25.617650981986486	1621	1286	1087	880	1061	1914	2306	2293	2349	774	12	1378	691	54.935642	30.730947	5.8981595	86.5479	0.0
13774.5	13405.5	28.371688431873416	-25.61765004737928	1621	1262	1038	801	992	1492	1741	1475	1899	774	12	1264	690	54.935596	30.730852	5.8974767	86.53389	0.0
13775.5	13405.5	28.371788005384335	-25.617649112704267	1621	1271	1048	844	992	1492	1741	1802	1899	774	12	1264	690	54.93555	30.730757	5.896794	86.51989	0.0
13776.5	13405.5	28.37188757889032	-25.61764817796145	1604	1276	1071	913	1035	1559	1674	1804	1845	586	15	1543	899	54.9355	30.730661	5.896111	86.50588	0.0
13777.5	13405.5	28.371987152391373	-25.61764724315083	1604	1281	1054	879	1035	1559	1674	1530	1845	586	15	1543	899	54.935455	30.730564	5.895428	86.491875	0.0
13778.5	13405.5	28.37208672588748	-25.61764630827241	1604	1273	1015	840	1000	1528	1709	1559	1835	586	15	1393	781	54.93541	30.730469	5.894746	86.47787	0.0
13779.5	13405.5	28.372186299378654	-25.61764537332619	1604	1260	1025	796	1000	1528	1709	1627	1835	586	15	1393	781	54.935364	30.730373	5.894063	86.46386	0.0
13780.5	13405.5	28.372285872864886	-25.61764443831216	1604	1265	1030	768	1019	1722	1844	1732	2024	586	15	1365	755	54.935318	30.730278	5.89338	86.44985	0.0
13781.5	13405.5	28.372385446346183	-25.617643503230333	1604	1274	1042	820	1019	1722	1844	1791	2024	586	15	1365	755	54.935272	30.730183	5.8926973	86.43585	0.0
13782.5	13405.5	28.372485019822538	-25.617642568080697	1620	1260	1052	838	1030	1610	1869	1834	1943	602	17	1423	796	54.935226	30.730085	5.8920145	86.421844	0.0
